,domino_num,time,start_point,end_point,angle
0,0,0.203,"(63, 264)","(61, 305)",88.36342295838328
1,0,0.205,"(61, 253)","(62, 305)",88.69804732742112
2,0,0.211,"(63, 260)","(61, 305)",88.49256424122504
3,0,0.216,"(61, 236)","(63, 305)",88.23760897633949
4,0,0.217,"(62, 205)","(60, 305)",88.95837332399003
5,0,0.22,"(62, 206)","(60, 305)",89.37724431279368
6,0,0.225,"(61, 252)","(62, 305)",88.83086067209258
7,0,0.233,"(61, 206)","(63, 305)",88.56790381583535
8,0,0.235,"(63, 228)","(61, 305)",89.22577983507195
9,0,0.243,"(63, 231)","(59, 305)",87.13759477388825
10,0,0.244,"(63, 233)","(61, 305)",89.14490260373329
11,0,0.244,"(61, 208)","(63, 305)",88.45184230102204
12,0,0.245,"(62, 206)","(60, 305)",88.97696981133217
13,0,0.247,"(60, 244)","(63, 305)",86.98721249581666
14,0,0.248,"(62, 257)","(60, 305)",88.26429541107161
15,0,0.249,"(62, 259)","(60, 305)",88.21008939175394
16,0,0.25,"(61, 251)","(62, 305)",88.31531568210372
17,0,0.25,"(63, 221)","(59, 305)",87.83892051177362
18,0,0.252,"(61, 248)","(62, 305)",88.80651057601797
19,0,0.253,"(63, 247)","(61, 305)",88.89829388479363
20,0,0.255,"(63, 228)","(60, 305)",88.21008939175394
21,0,0.256,"(62, 251)","(60, 305)",88.40885972880542
22,0,0.257,"(61, 264)","(59, 305)",88.49256424122504
23,0,0.263,"(62, 250)","(60, 305)",88.78112476486871
24,0,0.264,"(62, 206)","(60, 305)",89.06080905426442
25,0,0.267,"(63, 229)","(62, 305)",89.2559407971113
26,0,0.269,"(63, 221)","(62, 305)",89.32596310201549
27,0,0.27,"(62, 272)","(61, 305)",88.63607246839707
28,0,0.272,"(61, 253)","(62, 305)",88.66778014613037
29,0,0.276,"(61, 241)","(62, 305)",88.99491399474583
30,0,0.28,"(62, 270)","(62, 305)",88.66778014613037
31,0,0.285,"(61, 254)","(62, 305)",88.31531568210372
32,0,0.286,"(62, 271)","(61, 305)",88.45184230102204
33,0,0.286,"(63, 222)","(58, 305)",87.20729763428672
34,0,0.288,"(63, 205)","(61, 305)",89.41536947929482
35,0,0.289,"(61, 242)","(62, 305)",88.89829388479363
36,0,0.291,"(62, 266)","(62, 305)",88.78112476486871
37,0,0.294,"(63, 220)","(60, 305)",88.36342295838328
38,0,0.297,"(63, 218)","(60, 305)",88.09084756700362
39,0,0.297,"(62, 270)","(62, 305)",88.40885972880542
40,0,0.306,"(61, 243)","(62, 305)",88.21008939175394
41,0,0.309,"(60, 205)","(62, 305)",88.80651057601797
42,0,0.311,"(63, 220)","(60, 305)",88.31531568210372
43,0,0.316,"(61, 247)","(59, 305)",88.95837332399003
44,0,0.317,"(64, 207)","(61, 305)",88.45184230102204
45,0,0.319,"(61, 245)","(62, 305)",88.12212255271464
46,0,0.322,"(63, 271)","(62, 305)",88.31531568210372
47,0,0.324,"(62, 257)","(60, 305)",88.15238973400541
48,0,0.327,"(63, 254)","(61, 305)",88.66778014613037
49,0,0.33,"(62, 206)","(59, 305)",88.80651057601797
50,0,0.331,"(61, 257)","(62, 305)",88.45184230102204
51,0,0.332,"(60, 207)","(62, 305)",88.31531568210372
52,0,0.333,"(61, 231)","(62, 305)",89.11859600341786
53,0,0.335,"(62, 222)","(63, 305)",88.66778014613037
54,0,0.338,"(61, 247)","(62, 305)",88.15238973400541
55,0,0.341,"(63, 246)","(61, 305)",88.87669728592458
56,0,0.344,"(61, 232)","(62, 305)",88.95837332399003
57,0,0.344,"(61, 204)","(63, 305)",88.72696997994329
58,0,0.346,"(61, 244)","(63, 305)",88.12212255271464
59,0,0.35,"(61, 243)","(63, 305)",87.99044618697886
60,0,0.353,"(61, 252)","(62, 305)",88.21008939175394
61,0,0.354,"(62, 206)","(60, 305)",88.8542371618249
62,0,0.356,"(63, 221)","(61, 305)",89.27477570094075
63,0,0.357,"(63, 211)","(60, 305)",88.75463573323165
64,0,0.361,"(61, 260)","(62, 305)",88.56790381583535
65,0,0.366,"(61, 247)","(62, 305)",88.89829388479363
66,0,0.367,"(61, 246)","(62, 305)",88.29018595585848
67,0,0.367,"(63, 211)","(57, 305)",86.63353933657021
68,0,0.37,"(61, 247)","(62, 305)",88.99491399474583
69,0,0.372,"(63, 227)","(61, 305)",89.24615166692924
70,0,0.374,"(62, 271)","(60, 305)",88.09084756700362
71,0,0.375,"(61, 250)","(59, 305)",88.56790381583535
72,0,0.376,"(61, 206)","(63, 305)",88.8426669318705
73,0,0.378,"(63, 252)","(61, 305)",88.83086067209258
74,0,0.379,"(62, 229)","(63, 305)",88.60281897270363
75,0,0.381,"(63, 246)","(61, 305)",88.40885972880542
76,0,0.381,"(63, 211)","(60, 305)",88.31531568210372
77,0,0.382,"(63, 268)","(61, 305)",87.51044707800085
78,0,0.384,"(64, 219)","(61, 305)",88.36342295838328
79,0,0.385,"(64, 259)","(62, 305)",88.45184230102204
80,0,0.389,"(69, 207)","(61, 305)",85.60129464500447
81,0,0.39,"(69, 205)","(63, 305)",86.72951207681645
82,0,0.39,"(64, 272)","(62, 305)",86.53177074108285
83,0,0.391,"(66, 249)","(62, 305)",85.91438322002513
84,0,0.392,"(69, 208)","(61, 305)",85.48601154199874
85,0,0.393,"(68, 233)","(60, 305)",84.42780219603621
86,0,0.395,"(65, 264)","(61, 305)",85.48601154199874
87,0,0.395,"(70, 226)","(62, 305)",84.68545433005525
88,0,0.396,"(70, 226)","(60, 305)",83.01894259317021
89,0,0.397,"(69, 242)","(62, 305)",83.99099404250548
90,0,0.399,"(72, 204)","(62, 305)",84.88268515002737
91,0,0.399,"(65, 272)","(61, 305)",84.28940686250036
92,0,0.4,"(70, 230)","(62, 305)",84.64417495714481
93,0,0.4,"(72, 206)","(61, 305)",84.0531369460265
94,0,0.401,"(68, 251)","(61, 305)",83.11827636936306
95,0,0.403,"(73, 205)","(63, 305)",84.47245984834383
96,0,0.403,"(65, 267)","(63, 305)",88.15238973400541
97,0,0.404,"(74, 205)","(61, 305)",82.64762064010765
98,0,0.404,"(70, 241)","(59, 305)",81.02737338510362
99,0,0.406,"(68, 258)","(60, 305)",81.46923439005187
100,0,0.406,"(71, 234)","(63, 305)",83.99099404250548
101,0,0.407,"(65, 279)","(60, 305)",80.53767779197439
102,0,0.408,"(71, 238)","(62, 305)",83.08877288097531
103,0,0.409,"(76, 205)","(62, 305)",82.12606186827438
104,0,0.41,"(71, 246)","(62, 305)",81.5110561194953
105,0,0.411,"(76, 209)","(63, 305)",82.30394827798344
106,0,0.412,"(76, 206)","(63, 305)",82.98349825527708
107,0,0.414,"(76, 212)","(63, 305)",82.3493490446406
108,0,0.415,"(78, 207)","(62, 305)",80.8376529542783
109,0,0.415,"(74, 241)","(60, 305)",78.40782458970894
110,0,0.416,"(67, 275)","(62, 305)",81.86989764584403
111,0,0.417,"(78, 207)","(63, 305)",81.3843518158359
112,0,0.418,"(45, 202)","(58, 305)",82.64762064010765
113,0,0.418,"(75, 227)","(63, 305)",81.57303097851934
114,0,0.419,"(77, 220)","(61, 305)",79.5792876032055
115,0,0.42,"(77, 226)","(61, 305)",79.11447294534128
116,0,0.421,"(79, 214)","(63, 305)",80.13419305691563
117,0,0.421,"(79, 208)","(63, 305)",80.90972307917768
118,0,0.422,"(80, 210)","(61, 305)",79.15969454566944
119,0,0.422,"(79, 217)","(61, 305)",78.95905981967627
120,0,0.423,"(80, 213)","(63, 305)",79.59228868750995
121,0,0.423,"(71, 264)","(60, 305)",75.25643716352927
122,0,0.424,"(71, 259)","(60, 305)",77.09259132873416
123,0,0.425,"(81, 207)","(62, 305)",79.50852298766841
124,0,0.425,"(71, 265)","(58, 305)",72.03086025984298
125,0,0.425,"(77, 233)","(63, 305)",79.04593735660167
126,0,0.426,"(74, 245)","(60, 305)",77.61924307119283
127,0,0.426,"(80, 216)","(63, 305)",79.28687697720896
128,0,0.427,"(79, 224)","(61, 305)",77.82854179141253
129,0,0.427,"(71, 263)","(61, 305)",77.27564431457763
130,0,0.429,"(80, 220)","(62, 305)",78.17851165939275
131,0,0.429,"(84, 206)","(62, 305)",77.5500034921934
132,0,0.43,"(83, 207)","(62, 305)",78.02386755579664
133,0,0.43,"(76, 244)","(60, 305)",76.17134902771984
134,0,0.43,"(79, 227)","(61, 305)",77.47119229084849
135,0,0.431,"(70, 270)","(61, 305)",76.86597769360368
136,0,0.432,"(79, 233)","(60, 305)",75.59997869320895
137,0,0.432,"(83, 213)","(60, 305)",76.32869286780416
138,0,0.433,"(85, 208)","(61, 305)",76.122470196792
139,0,0.433,"(73, 259)","(61, 305)",75.96375653207353
140,0,0.434,"(84, 211)","(60, 305)",76.10880882854515
141,0,0.434,"(78, 239)","(62, 305)",76.37300514010846
142,0,0.435,"(81, 223)","(62, 305)",77.0053832080835
143,0,0.436,"(86, 207)","(62, 305)",76.32869286780416
144,0,0.436,"(74, 254)","(62, 305)",76.90810693565315
145,0,0.437,"(86, 209)","(61, 305)",75.79323388223963
146,0,0.438,"(86, 210)","(60, 305)",74.95360816780149
147,0,0.438,"(80, 236)","(61, 305)",75.14138555207533
148,0,0.439,"(86, 208)","(62, 305)",76.27770286686646
149,0,0.439,"(83, 219)","(61, 305)",76.20051460398064
150,0,0.44,"(74, 256)","(61, 305)",75.20323775494266
151,0,0.44,"(84, 217)","(62, 305)",75.96375653207353
152,0,0.44,"(85, 214)","(62, 305)",76.26373169437744
153,0,0.441,"(86, 212)","(60, 305)",74.90842732140513
154,0,0.441,"(53, 203)","(63, 305)",84.28940686250036
155,0,0.442,"(80, 233)","(62, 305)",75.96375653207353
156,0,0.442,"(86, 210)","(63, 305)",76.39945748334125
157,0,0.443,"(84, 224)","(62, 305)",75.14138555207533
158,0,0.443,"(74, 259)","(61, 305)",74.98163936884934
159,0,0.444,"(87, 214)","(61, 305)",74.23281745752432
160,0,0.445,"(71, 272)","(61, 305)",73.61045966596522
161,0,0.445,"(85, 221)","(63, 305)",75.73548770192009
162,0,0.445,"(81, 232)","(62, 305)",75.96375653207353
163,0,0.446,"(77, 254)","(61, 305)",73.07248693585295
164,0,0.446,"(87, 214)","(63, 305)",75.25643716352927
165,0,0.446,"(83, 234)","(59, 305)",72.03086025984298
166,0,0.447,"(84, 230)","(62, 305)",74.24882633654697
167,0,0.448,"(80, 242)","(62, 305)",74.32047587758075
168,0,0.449,"(88, 214)","(62, 305)",74.52136183458165
169,0,0.449,"(75, 257)","(61, 305)",74.6237487511738
170,0,0.45,"(89, 211)","(62, 305)",74.05460409907715
171,0,0.45,"(89, 214)","(62, 305)",73.85566121971651
172,0,0.451,"(84, 232)","(60, 305)",72.03086025984298
173,0,0.452,"(89, 215)","(61, 305)",73.07248693585295
174,0,0.453,"(90, 216)","(60, 305)",71.93952806380082
175,0,0.454,"(88, 223)","(62, 305)",72.58202920779716
176,0,0.454,"(89, 215)","(61, 305)",73.23744553816725
