,domino_num,time,start_point,end_point,angle
0,0,0.206,"(41, 259)","(39, 299)",88.40885972880542
1,0,0.208,"(41, 222)","(39, 299)",88.63607246839707
2,0,0.215,"(39, 249)","(40, 299)",88.63607246839707
3,0,0.216,"(41, 224)","(37, 299)",87.20729763428672
4,0,0.23,"(41, 224)","(39, 299)",88.60281897270363
5,0,0.238,"(41, 221)","(37, 299)",87.51044707800085
6,0,0.24,"(39, 257)","(40, 299)",88.26429541107161
7,0,0.245,"(41, 228)","(39, 299)",89.13194855025446
8,0,0.249,"(41, 221)","(39, 299)",89.19307054489762
9,0,0.252,"(42, 227)","(38, 299)",86.98721249581666
10,0,0.267,"(41, 222)","(39, 299)",88.69804732742112
11,0,0.272,"(42, 224)","(33, 299)",83.6598082540901
12,0,0.274,"(42, 245)","(39, 299)",87.66269414087618
13,0,0.282,"(41, 224)","(39, 299)",88.80651057601797
14,0,0.284,"(41, 223)","(39, 299)",88.75463573323165
15,0,0.294,"(42, 220)","(37, 299)",86.42366562500266
16,0,0.303,"(42, 221)","(34, 299)",84.8055710922652
17,0,0.309,"(42, 220)","(37, 299)",86.69813432556501
18,0,0.309,"(42, 225)","(39, 299)",88.26429541107161
19,0,0.314,"(30, 166)","(38, 299)",86.34777721969367
20,0,0.314,"(42, 239)","(33, 299)",81.63411387596742
21,0,0.314,"(42, 228)","(37, 299)",86.18592516570965
22,0,0.315,"(40, 251)","(35, 299)",84.55966796899449
23,0,0.317,"(32, 154)","(40, 299)",86.63353933657021
24,0,0.317,"(29, 205)","(33, 299)",86.98721249581666
25,0,0.318,"(41, 232)","(39, 299)",88.56790381583535
26,0,0.321,"(28, 157)","(33, 299)",87.66269414087618
27,0,0.322,"(29, 158)","(37, 299)",86.63353933657021
28,0,0.323,"(32, 188)","(34, 299)",88.75463573323165
29,0,0.324,"(31, 154)","(33, 299)",88.83086067209258
30,0,0.325,"(31, 156)","(36, 299)",87.91743472026913
31,0,0.326,"(31, 155)","(34, 299)",88.49256424122504
32,0,0.332,"(49, 224)","(37, 299)",80.90972307917768
33,0,0.337,"(37, 234)","(34, 299)",88.09084756700362
34,0,0.343,"(56, 211)","(38, 299)",78.69006752597979
35,0,0.349,"(51, 240)","(37, 299)",77.27564431457763
36,0,0.357,"(54, 247)","(37, 299)",72.64597536373867
37,0,0.366,"(56, 248)","(36, 299)",69.10223450116113
38,0,0.367,"(54, 249)","(39, 299)",74.29136217098426
